SMILES,mol_id,sim,improve
C[CH]C1CC[CH]C(C(N)=O)CN1C(=O)c1nnn[n-]1,0,,-0.66478426
C[CH]C1C[CH]C(C(N)=O)CN1C(=O)c1nnn[n-]1,0,,-1.097091712
CC[C+]1C=C(C(N)=O)CN1C(=O)c1nnn[n-]1,0,,-0.657741782
CC[C]1C=C(C(N)=O)CN1C(=O)c1nnn[n-]1,0,,-0.139162076
CC[C]1CCC(C(N)=O)CN1C(=O)c1nnn[n-]1,0,,0.250248955
CC1[CH]CC(C(N)=O)CN1C(=O)c1nnn[n-]1,0,,-0.924864664
CCC1CC(C(Cl)C(C)=O)CN1C(=O)c1nnn[n-]1,0,,0.902907041
CCC1CC(C(Cl)Cl)CN1C(=O)c1nnn[n-]1,0,,1.605561702
CCC1CC(C(C)=O)CN1C(=O)c1nnn[n-]1,0,,0.811030606
CCC1CC(C(C)=O)CCN1C(=O)c1nnn[n-]1,0,,1.437002135
CCC1CC(C(C)Cl)CCN1C(=O)c1nnn[n-]1,0,,1.995027884
CCC1CCCC(C(C)Cl)CN1C(=O)c1nnn[n-]1,0,,2.53024016
CCC1CCCC(C(C)C)CN1C(=O)c1nnn[n-]1,0,,2.968226016
CCC1CCCC(C(C)C)CCN1C(=O)c1nnn[n-]1,0,,3.58633871
CC[NH+]1CC[NH2+]C(CNCc2ccc([O-])c[nH+]2)C1,1,,-2.764587058
CC[NH+]1CCC([O-])(CNCc2ccc([O-])c[nH+]2)C1,1,,-1.885690104
CC[NH+]1CCC(O)(CNCc2ccc([O-])c[nH+]2)C1,1,,-0.914915443
CCC1CCC[NH+](CCNCc2ccc([O-])c[nH+]2)C1,1,,1.027275169
CCC[NH+]1CCC(CNCc2ccc(Cl)c[nH+]2)C1,1,,2.506640457
CCCN1CCC(CNCc2ccc([O-])c[nH+]2)C1,1,,3.707545514
CCCN1CCCC(CNCc2ccc([O-])c[nH+]2)C1,1,,4.194031039
