SMILES,mol_id,improve
CC(C)(O)CC[NH2+][N-]C1CCCS(=O)(=O)C1,50,-0.135351126
CC(C)(O)CC[NH2+][CH]C1CCCS(=O)(=O)C1,50,0.398176441
CC(C)(O)CC[NH2+]CCC1CCCS(=O)(=O)C1,50,0.83656254
CC(C)(O)CC[CH-]CCC1CCCS(=O)(=O)C1,50,3.555985985
CC(C)(O)CCC[CH-]C1CCCS(=O)(=O)CC1,50,3.465308728
CC(C)(O)CCC[CH]C1CCCS(=O)(=O)CC1,50,3.865682306
CC(C)(O)CCC[CH]CCC1CCS(=O)(=O)CC1,50,4.951141557
CC(C)(O)CCCCCCC1CCCS(=O)(=O)CC1,50,5.699760832
CC(C)(O)CCCCCCC1CCCS(=O)(=O)C1,50,5.226070778
CC(C)(O)CCCCCCCC1CCCS(=O)(=O)C1,50,5.641055802
CC(C)(O)CCCCCCCCC1CCCS(=O)(=O)C1,50,6.049968267
CC(C)(O)CCCCCCCCC1CCCS(=O)(=O)CC1,50,6.506343384
CC(C)(O)CCCCCCCCCC1CCCS(=O)(=O)C1,50,6.453711289
CC(C)(O)CCCCCCCCCC1CCCS(=O)(=O)CC1,50,6.903055833
CC(C)(O)CCCCCCCCCCC1CCCS(=O)(=O)C1,50,6.853012202
CC(C)(O)CCCCCCCCCCCC1CCCS(=O)(=O)C1,50,7.248463586
CC(C)(O)CCCCCCCCCCCC1CCCS(=O)(=O)CC1,50,7.686115407
CC(C)(O)CCCCCCCCCCCCC1CCCS(=O)(=O)C1,50,7.640553294
CC(C)(O)CCCCCCCCCCCCC1CCCS(=O)(=O)CC1,50,8.073296223
CC(C)(O)CCCCCCCCCCCCCC1CCCS(=O)(=O)C1,50,8.029686773
CC(C)(O)CCCCCCCCCCCCCC1CCCS(=O)(=O)CC1,50,8.458021179
CC(C)(O)CCCCCCCCCCCCCCC1CCS(=O)(=O)CC1,50,8.916897696
CC(C)(O)CC[NH2+]CC1CCCS(=O)(=O)C1,50,0.478584652
CC(C)(O)CC[CH]CC[CH]C1CCCS(=O)(=O)C1,50,3.614123619
CC(C)(O)CC[CH]CCC1CCCS(=O)(=O)C1,50,3.947675617
CC(C)(O)CC[CH]CC1CCCS(=O)(=O)C1,50,3.470425994
CC(C)(C)CC[CH]CC1CCCS(=O)(=O)C1,50,4.827469643
CC(C)(C)CC[CH]CCC1CCCS(=O)(=O)C1,50,5.299381637
CC(C)(C)CCC[CH]CC1CCCS(=O)(=O)C1,50,5.296621437
CC(C)(C)CCCCCC1CCCS(=O)(=O)C1,50,6.15412642
CC(C)(C)CCCCCCC1CCCS(=O)(=O)C1,50,6.571725095
CC(C)(C)CCCCCCC1CCCS(=O)(=O)CC1,50,7.041350477
CC(C)(C)CCCCCCCCC1CCCS(=O)(=O)C1,50,7.387936659
CC(C)(C)CCCCCCCCCC1CCCS(=O)(=O)C1,50,7.788433039
CC(C)(C)CCCCCCCCCCC1CCCS(=O)(=O)C1,50,8.184806653
CC(C)(C)CCCCCCCCCCCC1CCCS(=O)(=O)C1,50,8.577605173
CC(C)(C)CCCCCCCCCCCCC1CCCS(=O)(=O)C1,50,8.967279586
CC(C)(C)CCCCCCCCCCCCCC1CCCS(=O)(=O)C1,50,9.354204795
CC(C)(C)CCCCCCCCCCCCCCC1CCCS(=O)(=O)C1,50,9.738695152
CC(C)(O)CC[NH2+][N-]CC1CCCS(=O)(=O)C1,50,0.351976253
CC(C)(O)CC[NH2+][C]1CCCS(=O)(=O)C1,50,0.406410763
CC(C)(O)CC[NH2+]NCC1CCCS(=O)(=O)C1,50,0.000704012
CC(C)(C)CCCCCCCC1CCCS(=O)(=O)C1,50,6.982645447
CC1(C)C(=O)NCC[NH+]1Cc1ccc(OCC(F)F)cc1,51,0
CC1(C)C(=O)NCC[NH+]1Cc1ccc(OCC(F)(F)F)cc1,51,0.399356815
CC1(C)C(=O)NCC[NH+]1Cc1ccc(OCC(F)(F)F)cc1Br,51,0.982714543
CC1(C)C(=O)NCC[NH+]1Cc1ccc(OCC(F)(F)F)cc1OCCO,51,-0.289044139
CC1(C)C(=O)NCC[NH+]1Cc1ccc(OCC(F)(F)C(F)F)cc1,51,0.572613522
CC1(C)C(=O)NCCN1Cc1ccc(OCC(F)(F)C(F)F)cc1,51,3.415761918
CC1(C)C(=O)NCCN1Cc1ccc(OCC(F)(F)C(F)(F)F)cc1,51,3.725664108
CC1(C)C(=O)NCCN1Cc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,51,5.119506704
CC1(C)C(=O)NCCN1Cc1ccc(OCc2ccc(C(F)F)cc2)cc1,51,4.941870925
CC1(C)C(=O)NCCN1Cc1ccc(OCC(F)(F)C(=O)O)cc1,51,2.196000617
CC1(C)C(=O)NCCCN1Cc1ccc(OCC(F)(F)F)cc1,51,3.686749624
CC1(C)C(=O)NCCCN1Cc1ccc(OCC(F)F)cc1,51,3.32994435
CC1(C)CCCN(Cc2ccc(OCC(F)F)cc2)CC1,51,5.619201709
CC1(C)CCCCN1Cc1ccc(OCC(F)F)cc1,51,5.215551624
CC1(C)CCCCCN1Cc1ccc(OCC(F)F)cc1,51,5.613231044
CC1(C)C(=O)NCCN1Cc1ccc(OCC(F)(F)F)cc1,51,3.326608347
CC1(C)C(=O)NCCN1Cc1ccc(OCC(F)F)cc1,51,2.964952938
CC1(C)C(=O)CCN1Cc1ccc(OCC(F)F)cc1,51,3.724697098
CC1(C)C(=O)CCCCC1Cc1ccc(OCC(F)F)cc1,51,5.139407862
CC1(C)C(=O)CCCC1Cc1ccc(OCC(F)F)cc1,51,4.718701061
N#C[CH]C1CN(C(=O)[CH]C2CNCc3ccccc32)CCO1,52,-0.331273326
N#C[CH]C1CN(C(=O)O[CH]C2CNCc3ccccc32)CCO1,52,0.178808934
N#C[CH]C1CN(C(=O)C[C]2NCCc3ccccc32)CCO1,52,0.21825784
N#C[CH]C1CN(C(=O)OC[C]2[CH][CH]c3ccccc32)CCN1,52,0.437005388
N#C[CH]C1CN(C(=O)OC2CNCc3ccccc32)CCO1,52,0.376714559
N#C[CH]C1CN(C(=O)CC2CNCc3ccccc32)CCO1,52,0.312820568
N#C[CH]CC1CN(C(=O)CC2CNCc3ccccc32)CCO1,52,0.758471977
N#CCC1CN(C(=O)CC2CNCc3ccccc32)CCO1,52,0.889604847
N#CCC1CN(C(=O)CC2CNCc3ccccc32)CCCO1,52,1.28672216
N#CCCC1CN(C(=O)CC2CNCc3ccccc32)CCCO1,52,1.710256891
N#CCCC1CN(C(=O)CC2CNCc3ccccc32)CCCOC1,52,1.898680692
N#CCCC1CN(C(=O)CC2CNCc3ccccc32)CCCC=C1,52,2.596882484
N#CCCC1CN(C(=O)CC2CNCc3ccccc32)CCCc2ccccc21,52,3.714347217
N#CCCC1CN(C(=O)CC2CNCc3ccccc32)Cc2ccccc21,52,3.221716352
N#C[CH]C1CN(C(=O)CN2CNCc3ccccc32)CCO1,52,-0.21568264
N#C[CH]C1CN(C(=O)C2CNCc3ccccc32)CCO1,52,-0.094839764
N#C[CH]C1CN(C(=O)C2CNCc3ccccc32)CCCO1,52,0.324758549
N#C[CH]C1CN(C(=O)C2CCCc3ccccc32)CCO1,52,1.395501345
N#C[CH]C1CN(C(=O)C2CCCc3ccccc32)CCCO1,52,1.803041482
N#CC1CN(C(=O)C2CCCc3ccccc32)CCCO1,52,1.899795582
N#CCC1CN(C(=O)C2CCCc3ccccc32)CCCO1,52,2.37982576
N#CC1CN(C(=O)C2CCCc3ccccc32)CCCCO1,52,2.32334427
N#CC1CN(C(=O)C2CCCc3ccccc32)CCCCCO1,52,2.311763866
