SMILES,mol_id,qed,sim,drd
S=C1OCCN1CN1CCO[NH+](c2ccccc2)C1,200,0.7863501849493836,0.5306122448979592,0.0004108057906849
S=C1OCCN1CN1CCOC(c2ccccc2)C1,200,0.7827795095964074,1.0,0.0015751709970825
S=C1OCCN1CN1CC[NH2+]C(c2ccccc2)C1,200,0.7997317767051244,0.625,0.001538699852896
S=C1OCCN1CN1CCC(c2ccccc2)C1,200,0.7744353574349354,0.7209302325581395,0.0286792537269767
S=C1OCCN1CN1CCCC(c2ccccc2)C1,200,0.7876782532995584,0.6521739130434783,0.2050110019725049
N=C1OCCN(CN2CCCC(c3ccccc3)C2)N1,200,0.8787623195327784,0.3620689655172414,0.0761945107566762
N=C1OCCN1CN1CCCC(c2ccccc2)C1,200,0.903205092589388,0.4615384615384615,0.379566814120238
N=C1OCCN(CN2CCCC(c3ccccc3)C2)C1,200,0.9168302101257828,0.4,0.2649009215231691
N=C1OCCN(CN2CCCC(c3ccccc3)C2)C1=O,200,0.9195850746386244,0.4285714285714285,0.5368226187833106
N=C1OCCN(CN2CCCC(c3cccc(O)c3)C2)C1,200,0.8911726870337487,0.3278688524590163,0.6365631191557898
CC1OC(=N)N(CN2CCCC(c3ccccc3)C2)C1=O,200,0.9248738121300096,0.2857142857142857,0.7302010683495697
CC1OC(=N)N(CN2CCCC(c3cccc(F)c3)C2)C1,200,0.9302832117347132,0.2727272727272727,0.6614063520921085
C=C1OCCN(CN2CCCC(c3cccc(F)c3)C2)C1=N,200,0.933108340287758,0.34375,0.6669826178715945
C=C1OCCN(CN2CCCC(c3ccnc(N)c3)C2)C1=O,200,0.8487936266011936,0.2941176470588235,0.7258932761134388
C=C1OCCN(CCN2CCCC(c3cccc(F)c3)C2)C1=N,200,0.9280458203106492,0.2794117647058823,0.9056886166885312
CC1OCCN(CCN2CCCC(c3ccnc(F)c3)C2)CC1=N,200,0.8573862303225274,0.2191780821917808,0.7093070276857812
CCOC1=NCN(CCN2CCCC(c3cccc(F)c3)C2)C1=N,200,0.9018478149932604,0.1818181818181818,0.772266074484958
CCN1CCOC(CN2CCCC(c3cccc(F)c3)C(N)C2)C1=O,200,0.8966372926967127,0.2567567567567567,0.8998390371570666
CCN1CCOC(CN2CCCC(c3cccc(F)c3)C(N)C2)CC1=O,200,0.8885905640091167,0.2533333333333333,0.91153366576022
C=C1OCCN(CCN2CCCC(c3cccc(F)c3)C(N)C2)CC1C,200,0.8954362520797019,0.25,0.7729954582746809
C=C1OCCN(CCN2CCCC(c3cccc(F)c3)C2)CC1=C(C)N,200,0.8970454747645839,0.2432432432432432,0.8907341310526008
