SMILES,mol_id,qed,sim,gsk3,sa
CC1=C(CN2CCCCC2)C(=O)N(CCO)C(=O)C1C#N,400,0.752557007,1,0,0.732751429
CC1=C(CN2CCCCC2)C(=O)N(CCO)C1C#N,400,0.802489307,0.632653061,0,0.728344019
CC1=C(CN2CCCCC2)C(=O)N(CCO)C1C,400,0.811937924,0.551020408,0.01,0.755750389
CC1=C(CN2CCCCCC2)C(=N)C(C#N)=N1,400,0.789484779,0.345454545,0.01,0.768759162
CC1=C(CN2CCCCCC2)C(=N)C(C#N)=CN1,400,0.835775433,0.283333333,0.04,0.793970533
CC1=C(C#N)C(=O)N(CCN2CCCCC2)C(C)=N1,400,0.819448867,0.310344828,0,0.84746068
CC1=C(C#N)C(=O)N(CCN2CCCCC2)C(C)=CN1,400,0.848280892,0.362068966,0.02,0.790987317
CC1=C(C#N)C(=O)N(CCN2CCCCC2)C=C1C,400,0.8316783,0.305084746,0.01,0.843994788
CC1=C(C#N)C(=O)N(CCCN2CCCCC2)C=N1,400,0.81833038,0.290322581,0,0.847433593
CC1=C(CN2CCCCCC2)C(Cl)=NC(=O)C1=N,400,0.835105694,0.315789474,0.01,0.769731619
CC1=C(C#N)C(=O)N(CCCN2CCCCC2)C=C1Cl,400,0.85706521,0.285714286,0.01,0.834999954
CC1=C(C#N)C(=O)N=C(O)C1=CN1CCCCC1,400,0.762280661,0.241935484,0.02,0.751626081
CC1=C(C#N)C(=O)N=C(O)C1=CN1CCCCCC1,400,0.781778869,0.241935484,0.02,0.759076936
CC1=C(C#N)C(=O)N=C([O-])C1=CN1CCCCCC1,400,0.69912875,0.222222222,0.02,0.724567502
CC1=C(C#N)C(=O)N(CCCN2CCCCCC2)C(Cl)=N1,400,0.801020725,0.290322581,0,0.835269063
CC1=C(C#N)N=C(SCN2CCCCCC2)C(C)=C1Cl,400,0.786416462,0.258064516,0.02,0.780120559
CC(C(=O)N1CCCCCC1)=C(Cl)n1nc(C)ccc1=O,400,0.788200017,0.179104478,0,0.797405115
CC(C(=O)c1c(Cl)ncnn1)N1CCCCCC1(C)C,400,0.802781365,0.152777778,0.01,0.713316878
