SMILES,mol_id,dis_smi,wt,rt,sim,pio_gmean
Cc1ccc(SCCSc2nc(C)cc(O)n2)cc1,600,0.24935220877729627,1.2607971970239646e-09,1.522997974471263e-08,1.0,0.08311740842269107
Cc1ccc(SCCSc2nc(C)cs2)c(O)n1,600,0.3811713860529925,4.988125255911823e-08,1.522997974471263e-08,0.32,0.12705715038807494
CC(CS)=NCSc1nc(C)cc(=O)s1,600,0.5590551722090493,9.372686170131117e-21,0.00033546262790251185,0.23214285714285715,0.18646354494565062
CC(=CSSc1nc(C)cc(C)n1)CO,600,0.8040859377202602,5.506984946894441e-29,0.00033546262790251185,0.32608695652173914,0.2681404667827209
CC(=SCCS)c1nc(C)cc(CBr)n1,600,0.6241915699728758,5.637972037124653e-06,0.00033546262790251185,0.2037037037037037,0.20817755685760517
CC(=S=CSc1nc(C)cc(C)n1)CO,600,0.8040859377202602,5.506984946894207e-29,0.1353352832366127,0.32608695652173914,0.3131404069856243
CC(=S)CSc1nc(C)c(CC)cc1Br,600,0.5526230751798301,1.2305826457581158e-06,0.00033546262790251185,0.2,0.1843199227967928
CC(=NSc1nc(C)cc(C)n1)CS,600,0.7937902687824184,6.526030265103083e-37,0.1353352832366127,0.3333333333333333,0.309708517339677
CC(=NSc1nc(C)cc(C)n1)CBr,600,0.7937902687824184,2.0243292171862925e-15,0.1353352832366127,0.3333333333333333,0.3097085173396777
CC(C)=CC([S-])=Nc1nc(C)cs1,600,0.8382379332622975,1.880338018445947e-46,1.0,0.16981132075471697,0.6127459777540992
CC(C)=CC(Br)=Nc1nc(C)cs1,600,0.8382379332622975,2.8353314044894254e-21,1.0,0.16981132075471697,0.6127459777540992
CC(C)=C(Br)SSc1nc(C)cc(C)n1,600,0.851973923192689,2.050403807384181e-06,0.1353352832366127,0.3181818181818182,0.32910375227770305
CC(C)=C(Br)SSc1nc(C)ccn1,600,0.7352284512792991,5.844111715275367e-10,0.1353352832366127,0.24,0.29018791170010766
CC(C)=C(Br)Sc1nc(C)ccn1,600,0.7214463256966879,2.8353314044894254e-21,1.0,0.2553191489361702,0.573815441898896
CC(C)=C(Br)Sc1nc(C)cs1,600,0.8290938616328279,3.365454385729431e-19,1.0,0.20408163265306123,0.6096979538776094
CC(C)=CC(Br)c1cc(C)ncn1,600,0.7827045382418681,1.332719473852833e-29,1.0,0.17647058823529413,0.5942348460806227
CC(C)=C(Br)c1nc(C)ccn1,600,0.7066482778577163,4.7062133300477545e-37,0.1353352832366127,0.2127659574468085,0.280661187031443
CC(C)=C(Br)c1nc(C)cc(C)n1,600,0.835270211411272,1.3327194738527762e-29,0.1353352832366127,0.2682926829268293,0.32353516488262823
Cc1cc(C)nc(CC(C)=CBr)n1,600,0.7827045382418681,1.332719473852833e-29,1.0,0.26666666666666666,0.5942348460806227
Cc1cc(C)nc(CC(C)C)n1,600,0.7707517133408331,6.139862866833057e-81,1.0,0.2682926829268293,0.5902505711136111
CC(C)=CCc1nc(C)cc(C)n1,600,0.7827045382418681,3.1650609805822306e-71,1.0,0.27906976744186046,0.5942348460806227
Cc1cc(C)nc(CC(C)=CCl)n1,600,0.7827045382418681,3.739273823245899e-56,1.0,0.26666666666666666,0.5942348460806227
Cc1cc(C)nc(CC(F)F)n1,600,0.7707517133408331,1.851461035940083e-74,1.0,0.2619047619047619,0.5902505711136111
Cc1nc(NCC(C)(C)C)c2cc[nH]c2n1,601,0.5776698111849629,3.636899964763238e-42,1.0,1.0,0.5258899370616543
Cc1nc(NCC(C)(C)C)c2ccsc2n1,601,0.5776698111849629,1.4442231590511292e-32,1.0,0.5476190476190477,0.5258899370616543
Cc1nc(NCC(C)(C)C)c2cn[nH]c2n1,601,0.6408254166959827,1.416967022609695e-41,1.0,0.6,0.5469418055653276
Cc1nc(NCC(C)(C)C)c2cncc2[nH]1,601,0.5776698111849629,3.636899964763238e-42,1.0,0.3829787234042553,0.5258899370616543
