SMILES,mol_id,dis_smi,wt,rt,sim,pio_gmean
O=C1CC(=O)N(Cc2ccccc2)C(=S)N1,0,0.15267783373374766,3.901763474182113e-33,1.0,1.0,0.38422594457791587
O=C1CC(=O)N(Cc2ccccc2)C(=S)NC1=O,0,0.14626465942979977,5.606903547754044e-20,1.0,0.7297297297297297,0.3820882198099333
O=C1CC(=O)N(Cc2ccccc2)C(=O)N1,0,0.15267783373374766,3.202711455121121e-42,1.0,0.7352941176470589,0.38422594457791587
O=C1CC(=S)N(Cc2ccccc2)CO1,0,0.38262873187376123,2.1258377070190068e-40,1.0,0.4090909090909091,0.4608762439579204
O=C1CC(=S)N(Cc2ccccc2)O1,0,0.3604477885978211,4.6362845953006094e-49,1.0,0.42857142857142855,0.45348259619927367
O=C1CC(=S)N(Cc2ccco2)N1,0,0.53262063849484,1.8201736846586408e-56,1.0,0.30612244897959184,0.5108735461649466
O=C1CC(=S)N(CC2CCC2)C1=O,0,0.6559312535405392,9.399612712848696e-56,1.0,0.20833333333333334,0.551977084513513
O=C1CC(=S)N(CC2CCC2)N1,0,0.7748374288832494,4.191688347260032e-65,1.0,0.22916666666666666,0.5916124762944165
S=C1CCCC(=O)N1CC1CCC1,0,0.8411288833576084,1.0081494622230755e-55,1.0,0.2391304347826087,0.6137096277858695
S=C1CC(=O)N(CC2CCC2)P1,0,0.8322230966367535,4.84029974058675e-53,1.0,0.20408163265306123,0.6107410322122512
S=C1CCCC(=O)N1CC1CC1,0,0.8322230966367535,7.611345268071612e-66,1.0,0.24444444444444444,0.6107410322122512
S=C1CCCC(=S)N1CC1CO1,0,0.924572616966906,5.522740053779947e-53,1.0,0.15217391304347827,0.6415242056556353
S=C1CC(=O)N1CC1CCC1,0,0.8225775623986646,8.033305929373245e-77,1.0,0.2727272727272727,0.6075258541328882
S=C1CCC(=O)N1CC1CC1,0,0.8225775623986646,8.033305929373245e-77,1.0,0.25,0.6075258541328882
CN1CCc2cc(NC(=O)Nc3cccnc3)ccc21,1,0.2748708077689133,1.3662994255207828e-17,1.0,1.0,0.42495693592297107
CN1CCc2cc(NC(=O)Nc3ccc(N)cc3)ccc21,1,0.20303279625113796,1.1935966166992546e-12,1.0,0.6595744680851063,0.4010109320841105
CN1CCc2cc(NC(=O)Nc3ccco3)ccc21,1,0.40785518257906395,4.47852372238997e-22,1.0,0.6153846153846154,0.46928506085968796
CN1CCc2cc(NC(=O)c3ccoc3)ccc21,1,0.38794566321549107,4.9637668190198626e-29,1.0,0.509090909090909,0.4626485544051637
CN1CCc2cc(NC(=O)C3CCOC3)ccc21,1,0.6226294356881642,4.567671999617767e-27,1.0,0.49122807017543857,0.5408764785627214
CN1CCc2cc(NC(=O)C3CCOC3C)ccc21,1,0.6328847653223545,8.74626238292253e-21,1.0,0.4827586206896552,0.5442949217741182
CN1CCc2cc(NC(=O)C3CCOC3=O)ccc21,1,0.45783336177161427,8.384027208607155e-21,1.0,0.49122807017543857,0.4859444539238715
CN1CCc2cc(NC(=O)C3CCOC3)ccc2C1O,1,0.6475873571405901,1.1587359317232453e-14,1.0,0.31343283582089554,0.5491957857135339
CN1CCc2cc(NC(=O)C3CCOC3N)ccc21,1,0.6328847653223545,2.2495437995000668e-20,1.0,0.4745762711864407,0.5442949217741182
CN1CCc2cc(NC(=O)C3CCO3)cc(Br)c21,1,0.7282037403902765,3.5500665328876305e-05,1.0,0.3333333333333333,0.5760797470185351
CN1CCc2cc(NC(=O)C3CCOC3)cc(Br)c21,1,0.7438930621376464,0.007597010950787268,1.0,0.29850746268656714,0.5838300243628112
CN1CCc2cc(NC(=O)C3CCOC3)c(Br)cc21,1,0.7438930621376464,0.007597010950787268,1.0,0.3181818181818182,0.5838300243628112
